,d,v,x,y
star1,8.999999999999972,1.0471777735812524,3.745443850967541,8.18362085871828
star2,8.999999999999972,1.0471777735812524,-3.745443850967541,-8.18362085871828
asteroid1,102.48127895008423,0.952559953674807,50.26131088811496,59.681341666167974
asteroid2,95.37910032566508,0.9229961729429034,-2.618446318092741,-40.90398917677475
asteroid3,11165.668857096192,1.142093783083688,368.36271258068143,10301.87835861277
asteroid4,81.99662007983007,0.9935593871328484,-74.9325767389592,24.432128267029665
asteroid5,137.60906915694625,0.7057739444589788,24.154394652396633,70.60163675451689
asteroid6,75.01099375814853,0.8993498623048866,49.94440449919988,-34.01082931422419
asteroid7,83.90733957394528,0.8539216808402519,67.22167368289215,2.2390729042249893
asteroid8,112.09798836304277,0.7946752916937906,-13.126165404842249,99.44379016909959
asteroid9,92.16772255265933,0.6306833429782964,-44.726995157360754,28.974684347351435
asteroid10,89.91931610260649,0.9114990995371187,-89.53565395585561,0.5682712825757857
